CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
1903,513,643,477,12179,61,982,1515
1660,538,335,465,12418,64,1102,1722
1585,420,321,448,12301,99,1201,1920
1536,264,201,795,12646,113,1230,1517
1540,55,308,976,13025,81,1591,745
7915,784,1944,1611,21028,292,362,2016
9214,1273,0,1185,21205,292,440,2281
6700,1407,902,1851,23667,212,495,503
5451,1304,703,2498,24057,205,765,505
4113,1017,1251,1802,26052,220,831,151
4057,1838,1208,1275,25157,206,822,1026
4764,1828,556,1731,24869,135,928,653
5114,1551,496,1317,24840,139,1347,634
5372,1290,462,1850,23768,117,1571,974
3747,1145,1539,1895,23402,103,1891,1912
3918,1187,1423,1689,23631,92,1923,1423
5200,1395,733,1336,23004,92,2132,1413
3807,933,305,1227,23802,195,2407,2584
3665,590,364,1292,24267,246,2465,2344
3799,129,457,1680,24352,125,3207,1238
1840,563,474,4006,22759,230,513,3008
2387,937,0,3395,23001,230,773,2158
2140,878,425,4881,21787,299,634,1383
2044,939,61,7425,20321,282,1003,121
2260,741,581,6731,19625,151,1155,800
2267,1002,504,5834,17753,479,1442,2609
2732,1086,380,6026,17652,136,1891,1095
2807,1300,390,5469,16738,134,2397,1361
2752,1077,345,6229,16325,113,2867,1042
2300,1004,560,5792,16260,112,3643,594
2451,973,503,5697,15683,104,3358,954
2465,896,288,5455,14605,105,3902,2270
2351,1107,258,4701,14636,121,3960,2992
2098,571,90,5558,15649,109,4052,1486
2122,260,452,5100,15827,141,4901,520
6221,854,1191,2440,18748,430,212,1950
7123,1598,0,1707,18817,430,428,1972
5108,1654,719,2454,20766,294,475,427
4106,1413,509,3075,20771,280,774,923
3119,1243,849,2829,21749,234,813,542
2889,2100,896,2410,21748,237,653,639
3243,2135,419,2917,21333,150,707,637
3769,1798,321,1949,21333,180,1408,400
3806,1474,362,1865,21179,161,1555,801
2370,1456,977,1935,21659,154,1834,884
2152,1535,852,1917,21941,105,1779,931
2298,1639,533,1860,21911,143,2000,815
2097,1181,459,1905,22922,200,1139,1252
2070,627,406,2642,22587,226,1140,1468
2231,161,415,2892,22800,137,1467,975
16300,3532,2360,7215,51404,898,649,8461
18403,5880,0,6017,52715,898,841,5492
14850,5891,1421,8501,51641,718,815,6180
13070,5932,1806,9358,53245,787,1118,4389
13491,4873,1874,9433,54624,808,1194,3237
15933,6684,1941,8433,50471,711,1200,4445
